YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,MAM,JJA,SON,DJF,ANN
1968,30.6,31.7,27.6,24.8,51.3,96.2,124.4,114,129,81.7,31.7,25.4,103.7,334.6,242.4,58.5,768.4
1969,19.7,13.4,12,15.2,30.9,64.4,139.5,190.9,146,77.8,25.8,26.7,58.1,394.8,249.6,64.8,762.4
1970,17,21.1,11.4,7.6,21.4,118,138.5,131.4,188.2,52.8,15.5,7.8,40.4,387.9,256.5,23.6,730.7
1971,9.7,6,8.1,8.9,32.5,111.5,100.5,157.2,157.7,120,29.3,21.9,49.5,369.2,307,54.3,763.4
1972,25.7,6.7,15.6,15.9,55.8,136.8,126.1,109.8,112.1,72.6,57.2,23,87.4,372.7,242,81.7,757.4
1973,22.1,36.7,8.4,14.8,38.6,118.1,130.9,195.3,131.3,102.2,21.9,17.6,61.8,444.4,255.3,45.8,837.9
1974,21.7,6.5,17.3,14.4,47.1,112.3,129.1,102.1,177.3,39.6,28.8,20.3,78.8,343.5,245.7,54.2,716.5
1975,23.9,10,7.7,5.1,45.5,72.6,158.4,127.9,132.8,75.4,22.9,19.7,58.3,358.9,231.1,44.6,702
1976,13.5,11.4,7.5,25.6,37.4,113.8,166.4,114.7,137.9,93.7,63.9,30.4,70.5,394.9,295.6,60,816.2
1977,18.1,11.6,8,20.9,36.5,100.2,92.1,133.9,103.8,74.4,23.7,23.4,65.4,326.1,201.9,70.3,646.5
1978,21.9,24.9,25,8.8,53.2,101.5,133.8,118.4,188.5,94.5,24.6,36.4,87.1,353.6,307.7,87.8,831.6
1979,36.5,14.9,14.8,27.5,33.2,78.2,125.1,129.8,137.5,41.4,18.7,34.4,75.5,333.1,197.7,90.7,692
1980,33.2,23.1,7,17.8,28.2,68.6,108.6,160,148.4,64.2,29.8,18.2,53,337.3,242.4,86.2,707.2
1981,52.2,15.8,24,35.2,46.2,142.9,153.6,150.2,118.3,102.2,12.2,15.4,105.4,446.7,232.7,48.5,868.2
1982,14.4,18.7,11.3,24.2,55.9,58.9,96.4,76.1,116.3,75.5,45.5,50.2,91.4,231.4,237.3,121,643.4
1983,29.9,41,41.2,12.2,36.4,68.8,145.4,137.7,157.8,76.5,39,26.3,89.8,351.9,273.3,80.3,812.2
1984,44,10,8.5,4.9,82.4,125.7,181.4,134.6,161.3,41.4,21.2,50.5,95.8,441.7,223.9,93.7,866
1985,30.3,12.9,11.5,34.2,34.7,131,134.1,122,105.5,78.9,31.6,21.9,80.4,387.2,216,55,748.7
1986,18.8,14.2,8.4,19.3,68.2,108.4,104.9,100.9,117.5,81,34.7,30.8,95.9,314.1,233.2,66.4,707.1
1987,15.8,19.8,13.1,16.1,35,99.8,150.4,109.9,110,24.3,22.2,22,64.2,360,156.4,56.2,638.2
1988,25.4,8.9,13.3,12.4,19.7,125.6,146.4,174.3,145.6,48,13.1,18.3,45.4,446.2,206.7,59.4,750.9
1989,22.4,18.7,7.8,18.2,27.7,74.6,114,147.6,134.4,61.6,37.6,34.6,53.7,336.1,233.7,73.5,699.2
1990,17.1,21.8,17.7,24.5,43.4,91.2,164,122.4,134.9,87.2,32.7,35,85.6,377.6,254.8,75.9,791.8
1991,20,20.9,10.1,6.7,33.4,101.8,130.3,99.9,145.1,79.1,35.5,54.4,50.1,332,259.7,136.4,737.1
1992,53.3,28.7,21.5,28,54.7,74.3,133,117.2,113.2,72,40,27.9,104.1,324.5,225.2,79.2,763.7
1993,32.6,18.7,11.3,14.2,33.9,149.2,114.9,123.8,161.5,62.4,28.2,12.3,59.4,387.9,252.1,48.7,762.9
1994,22.8,13.5,14.9,14.3,30.1,90.1,80.1,127.4,99.4,82.4,28.5,35.3,59.3,297.6,210.4,71.1,639
