YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,MAM,JJA,SON,DJF,ANN
2001,2.3,2.3,2.3,2.3,3.7,6.7,9.8,9.8,9,5.2,2.3,2.4,8.2,26.3,16.5,7.1,58
2002,2,2.7,1.1,1.4,3.1,7,9.9,8.6,10.1,6.6,3.6,2.4,5.6,25.5,20.3,6.7,58.4
2003,2,2.3,1.7,1.7,2.9,7.9,10.1,10.4,10.6,7.2,2.8,1.6,6.3,28.4,20.5,7.8,61.2
2004,4.4,1.8,2.9,2.4,4.3,7.7,10.5,9.4,10.8,7.2,2.3,1.9,9.6,27.6,20.4,7.9,65.8
2005,3.1,2.9,1.7,1.5,3.5,5.5,11,10.8,8.2,6.8,2.1,1.7,6.7,27.3,17.1,5.1,58.8
2006,2.4,1,1.5,1.5,4.2,6.7,11.2,11.4,10.2,6.8,2.7,3.1,7.2,29.3,19.7,8.9,62.8
2007,3.8,2.1,1.4,1.7,3.3,7.6,11,11.1,9.8,5.3,2.5,1.9,6.3,29.8,17.5,5.4,61.4
2008,2,1.6,1.3,2.1,3.1,7,12,11.6,10.2,5.9,1.3,1.4,6.5,30.6,17.5,5,59.5
2009,2,1.5,1.7,1.3,3.8,8.1,8.7,9.3,9.7,6.5,2.8,3.7,6.8,26.2,19,10.6,59.2
2010,3.8,3.1,1.4,2.3,3.1,6.8,13.5,10.4,10.9,2.2,1.2,1.4,6.8,30.7,14.3,4.5,60.1
2011,1.8,1.3,1,1.6,2.1,6.6,11.7,10.5,8,5.3,2.9,2.4,4.7,28.8,16.2,7.6,55.2
2012,2.2,3,1.6,1.7,3.4,6.9,10.7,10.5,9.1,5.1,2.5,2.4,6.6,28.1,16.6,6.9,59
2013,3.1,1.3,1.1,1.4,3.6,7.6,11.8,10.4,11.8,6.7,4.5,3.7,6,29.8,22.9,7.1,67
2014,2.1,1.2,1.9,1.5,4.5,8.6,9.5,11.1,11.4,6.7,3.7,2.4,7.9,29.2,21.9,7.9,64.8
2015,3.2,2.2,2.8,2.5,4.1,7.5,9.7,8.9,9.1,6.9,4.1,2.8,9.4,26.1,20.1,7,63.7
2016,3.1,1.1,2.4,2,3.6,8.1,10.7,12.1,9.6,4.7,3.4,4.1,8,31,17.7,7.8,64.9
2017,1.9,1.8,2,1.8,3.5,7.3,10.7,11.2,10.5,5.1,1.4,3,7.3,29.2,17,8,60.2
2018,2.8,2.2,1.2,2.1,3.5,8.2,8.1,10.2,10.5,7.3,3.7,3.1,6.8,26.5,21.5,7.7,63
2019,3,1.6,1.8,1.4,2.9,6.9,8.9,9.6,10,7.1,3.8,2.6,6,25.3,21,8.2,59.6
2020,3.1,2.5,1.9,1.8,3.6,6.9,10,9.7,9.3,3.7,2.2,2,7.3,26.6,15.1,6.9,56.5
2021,3.3,1.7,1.1,1.4,4,8.6,10.7,12,9.8,5.8,2.2,2.3,6.4,31.3,17.8,6.2,62.8
2022,2.1,1.8,1.1,1.8,2.9,7.4,9.1,11.3,10.5,5.4,3.4,2.4,5.8,27.9,19.2,5.4,59.1
2023,1.7,1.4,2,1.9,3.2,5.3,9.7,10.1,7.5,6,3.3,3,7.1,25.1,16.8,-999,55.1
